plantId,targetLevel,type,value,sourceText
19,2,ATTACK_SPEED_PERCENT_ADD,10.0,Atk Speed +10%
19,3,DAMAGE_ADD,10.0,Dmg +10
19,4,COST_ADD,-25.0,Cost -25
20,2,POISON_DAMAGE_PER_TICK_ADD,5.0,Dmg/Tick +5
20,3,HEALTH_ADD,150.0,HP +150
20,4,COST_ADD,-25.0,Cost -25
21,2,DAMAGE_ADD,10.0,Dmg +10
21,3,SELF_PLANT_FOOD_CHANCE_ADD,0.05,Plant Food Chance +5%
21,4,COST_ADD,-50.0,Cost -50
22,2,RANGE_TILES_ADD,1.0,Range +1 Tile
22,3,DAMAGE_ADD,5.0,Dmg +5
22,4,LIFESPAN_SECONDS_ADD,10.0,Lifespan +10s
23,2,LIFESPAN_SECONDS_ADD,10.0,Lifespan +10s
23,3,DAMAGE_ADD,10.0,Dmg +10
23,4,RANGE_TILES_ADD,1.0,Range +1 Tile
24,2,RANGE_TILES_ADD,1.0,Range +1 Tile
24,3,DAMAGE_ADD,10.0,Dmg +10
24,4,COST_ADD,-25.0,Cost -25
25,2,DAMAGE_ADD,10.0,Dmg +10
25,3,ATTACK_SPEED_PERCENT_ADD,15.0,Atk Speed +15%
25,4,HEALTH_ADD,150.0,HP +150
26,2,KERNEL_BUTTER_CHANCE_ADD,0.05,Butter +5%
26,3,DAMAGE_ADD,10.0,Dmg +10
26,4,HEALTH_ADD,150.0,HP +150
27,2,COST_ADD,-25.0,Cost -25
27,3,SPLASH_DAMAGE_ADD,15.0,AoE Dmg +15
27,4,DAMAGE_ADD,30.0,Dmg +30
28,2,COST_ADD,-50.0,Cost -50
28,3,SPLASH_DAMAGE_ADD,15.0,AoE Dmg +15
28,4,COST_ADD,-25.0,Cost -25
29,2,DAMAGE_ADD,15.0,Dmg +15
29,3,WARMTH_RADIUS_ADD,1.0,Warmth Radius +1
29,4,COST_ADD,-25.0,Cost -25
30,2,MINE_ARM_SECONDS_ADD,-3.0,Arm Time -3s
30,3,RECHARGE_SECONDS_ADD,-5.0,Cooldown -5s
30,4,DAMAGE_ADD,600.0,Dmg +600
31,2,MINE_ARM_SECONDS_ADD,-1.0,Arm Time -1s
31,3,RECHARGE_SECONDS_ADD,-3.0,Cooldown -3s
31,4,DAMAGE_ADD,400.0,Dmg +400
32,2,RECHARGE_SECONDS_ADD,-5.0,Cooldown -5s
32,3,DAMAGE_ADD,600.0,Dmg +600
32,4,COST_ADD,-25.0,Cost -25
33,2,RECHARGE_SECONDS_ADD,-3.0,Cooldown -3s
33,3,DAMAGE_ADD,600.0,Dmg +600
33,4,SQUASH_MAX_ACTIVATIONS_SET,2,Can crush 2x
34,2,DAMAGE_ADD,600.0,Dmg +600
34,3,GRAPESHOT_BOUNCES_ADD,1.0,Bounces +1
34,4,COST_ADD,-25.0,Cost -25
35,2,RECHARGE_SECONDS_ADD,-5.0,Cooldown -5s
35,3,DAMAGE_ADD,600.0,Dmg +600
35,4,COST_ADD,-25.0,Cost -25
36,2,RECHARGE_SECONDS_ADD,-5.0,Cooldown -5s
36,3,DAMAGE_ADD,800.0,Dmg +800
36,4,COST_ADD,-50.0,Cost -50
37,2,RECHARGE_SECONDS_ADD,-5.0,Cooldown -5s
37,3,TANGLE_NORMAL_TARGETS_ADD,1.0,Targets +1
37,4,COST_ADD,-25.0,Cost -25
38,2,RECHARGE_SECONDS_ADD,-2.0,Cooldown -2s
38,3,FREEZE_SECONDS_ADD,2.0,Freeze Time +2s
38,4,COST_ADD,-0.0,Cost -0
39,2,DAMAGE_ADD,5.0,Dmg +5
39,3,ATTACK_SPEED_PERCENT_ADD,10.0,Atk Speed +10%
39,4,HEALTH_ADD,200.0,HP +200
40,2,DAMAGE_ADD,10.0,Dmg +10
40,3,ATTACK_SPEED_PERCENT_ADD,10.0,Atk Speed +10%
40,4,HEALTH_ADD,200.0,HP +200
41,2,CHOMPER_DIGEST_SECONDS_ADD,-2.0,Digest -2s
41,3,HEALTH_ADD,200.0,HP +200
41,4,CHOMPER_DIGEST_SECONDS_ADD,-3.0,Digest -3s
42,2,DAMAGE_ADD,10.0,Dmg +10
42,3,RANGE_TILES_ADD,1.0,Range +1 Tile
42,4,HEALTH_ADD,200.0,HP +200
43,2,HEALTH_ADD,200.0,HP +200
43,3,DAMAGE_ADD,15.0,Dmg +15
43,4,KIWI_MAX_STAGE_ADD,1.0,Max Size +1
44,2,HEALTH_ADD,1000.0,HP +1000
44,3,RECHARGE_SECONDS_ADD,-5.0,Cooldown -5s
44,4,HEALTH_ADD,1500.0,HP +1500
45,2,HEALTH_ADD,2000.0,HP +2000
45,3,RECHARGE_SECONDS_ADD,-5.0,Cooldown -5s
45,4,HEALTH_ADD,3000.0,HP +3000
46,2,ENDURIAN_REFLECT_DAMAGE_ADD,5.0,Reflect Dmg +5
46,3,HEALTH_ADD,1000.0,HP +1000
46,4,COST_ADD,-25.0,Cost -25
47,2,HEALTH_ADD,150.0,HP +150
47,3,RECHARGE_SECONDS_ADD,-3.0,Cooldown -3s
47,4,HEALTH_ADD,250.0,HP +250
48,2,HEALTH_ADD,1000.0,HP +1000
48,3,RECHARGE_SECONDS_ADD,-5.0,Cooldown -5s
48,4,HEALTH_ADD,1500.0,HP +1500
49,2,HEALTH_ADD,1000.0,HP +1000
49,3,EXPLOSION_DAMAGE_ADD,200.0,Explode Dmg +200
49,4,COST_ADD,-25.0,Cost -25
50,2,HEALTH_ADD,1000.0,HP +1000
50,3,RECHARGE_SECONDS_ADD,-5.0,Cooldown -5s
50,4,HEALTH_ADD,1500.0,HP +1500
51,2,SUN_BEAN_DAMAGE_THRESHOLD_ADD,-50.0,Damage Threshold -50
51,3,HEALTH_ADD,150.0,HP +150
51,4,COST_ADD,-25.0,Cost -25
52,2,HEALTH_ADD,300.0,HP +300
52,3,TORCHWOOD_DEATH_EXPLOSION_DAMAGE,450,AoE on Death
52,4,COST_ADD,-25.0,Cost -25
53,2,RANGE_TILES_ADD,1.0,Range +1 Tile
53,3,RECHARGE_SECONDS_ADD,-5.0,Cooldown -5s
53,4,HEALTH_ADD,200.0,HP +200
54,2,COST_ADD,-25.0,Cost -25
54,3,HYPNO_ALLY_HP_PERCENT_ADD,0.2,Zombie HP Buff
54,4,HYPNO_ALLY_DAMAGE_PERCENT_ADD,0.2,Zombie Dmg Buff
55,2,DAMAGE_ADD,10.0,Dmg +10
55,3,HEALTH_ADD,200.0,HP +200
55,4,COST_ADD,-25.0,Cost -25
56,2,HEALTH_ADD,1000.0,HP +1000
56,3,RECHARGE_SECONDS_ADD,-5.0,Cooldown -5s
56,4,HEALTH_ADD,1500.0,HP +1500
57,2,FREEZE_SECONDS_ADD,2.0,Freeze Time +2s
57,3,RECHARGE_SECONDS_ADD,-5.0,Cooldown -5s
57,4,DAMAGE_ADD,50.0,Dmg +50
58,2,COST_ADD,-25.0,Cost -25
58,3,HEALTH_ADD,200.0,HP +200
58,4,RECHARGE_SECONDS_ADD,-2.0,Cooldown -2s
59,2,RECHARGE_SECONDS_ADD,-2.0,Cooldown -2s
59,3,HOT_POTATO_MELT_RADIUS_SET,1,Melt Area 3x3
59,4,FINISH_EXPLOSION_DAMAGE,600,Explode on Finish
60,2,GRAVE_BUSTER_EAT_SECONDS_ADD,-1.0,Eat Time -1s
60,3,RECHARGE_SECONDS_ADD,-2.0,Cooldown -2s
60,4,FINISH_EXPLOSION_DAMAGE,600,Explode on Finish
61,2,MINT_DURATION_SECONDS_ADD,1.0,Duration +1s
61,3,RECHARGE_SECONDS_ADD,-5.0,Cooldown -5s
61,4,MINT_RESET_FAMILY_COOLDOWNS,1,reset family cooldowns
62,2,MINT_DURATION_SECONDS_ADD,1.0,Duration +1s
62,3,RECHARGE_SECONDS_ADD,-5.0,Cooldown -5s
62,4,MINT_RESET_FAMILY_COOLDOWNS,1,reset family cooldowns
63,2,MINT_DURATION_SECONDS_ADD,1.0,Duration +1s
63,3,RECHARGE_SECONDS_ADD,-5.0,Cooldown -5s
63,4,MINT_RESET_FAMILY_COOLDOWNS,1,reset family cooldowns
64,2,MINT_DURATION_SECONDS_ADD,1.0,Duration +1s
64,3,RECHARGE_SECONDS_ADD,-5.0,Cooldown -5s
64,4,MINT_RESET_FAMILY_COOLDOWNS,1,reset family cooldowns
65,2,MINT_DURATION_SECONDS_ADD,1.0,Duration +1s
65,3,RECHARGE_SECONDS_ADD,-5.0,Cooldown -5s
65,4,MINT_RESET_FAMILY_COOLDOWNS,1,reset family cooldowns
66,2,MINT_DURATION_SECONDS_ADD,1.0,Duration +1s
66,3,RECHARGE_SECONDS_ADD,-5.0,Cooldown -5s
66,4,MINT_RESET_FAMILY_COOLDOWNS,1,reset family cooldowns
67,2,MINT_DURATION_SECONDS_ADD,1.0,Duration +1s
67,3,RECHARGE_SECONDS_ADD,-5.0,Cooldown -5s
67,4,MINT_RESET_FAMILY_COOLDOWNS,1,reset family cooldowns
68,2,MINT_DURATION_SECONDS_ADD,1.0,Duration +1s
68,3,RECHARGE_SECONDS_ADD,-5.0,Cooldown -5s
68,4,MINT_RESET_FAMILY_COOLDOWNS,1,reset family cooldowns
69,2,MINT_DURATION_SECONDS_ADD,1.0,Duration +1s
69,3,RECHARGE_SECONDS_ADD,-5.0,Cooldown -5s
69,4,MINT_RESET_FAMILY_COOLDOWNS,1,reset family cooldowns
